timestamp,client_name,vm_id,ip,os,total_gb,used_gb,free_gb,used_percent
2025-05-25 00:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,245.97,254.03,49.2
2025-05-25 01:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,245.99,254.01,49.2
2025-05-25 02:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,234.43,265.57,46.9
2025-05-25 03:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,223.47,276.53,44.7
2025-05-25 04:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,223.5,276.5,44.7
2025-05-25 05:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,223.51,276.49,44.7
2025-05-25 06:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,223.54,276.46,44.7
2025-05-25 07:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,223.58,276.42,44.7
2025-05-25 08:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,223.64,276.36,44.7
2025-05-25 09:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,223.7,276.3,44.7
2025-05-25 10:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,223.74,276.26,44.7
2025-05-25 11:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,223.79,276.21,44.8
2025-05-25 12:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,223.85,276.15,44.8
2025-05-25 13:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,223.88,276.12,44.8
2025-05-25 14:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,223.9,276.1,44.8
2025-05-25 15:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,223.93,276.07,44.8
2025-05-25 16:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,223.97,276.03,44.8
2025-05-25 17:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.02,275.98,44.8
2025-05-25 18:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.04,275.96,44.8
2025-05-25 19:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.09,275.91,44.8
2025-05-25 20:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.16,275.84,44.8
2025-05-25 21:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.17,275.83,44.8
2025-05-25 22:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.2,275.8,44.8
2025-05-25 23:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.23,275.77,44.8
2025-05-26 00:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.3,275.7,44.9
2025-05-26 01:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.33,275.67,44.9
2025-05-26 02:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.38,275.62,44.9
2025-05-26 03:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.41,275.59,44.9
2025-05-26 04:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.43,275.57,44.9
2025-05-26 05:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.48,275.52,44.9
2025-05-26 06:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.5,275.5,44.9
2025-05-26 07:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.54,275.46,44.9
2025-05-26 08:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.56,275.44,44.9
2025-05-26 09:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.61,275.39,44.9
2025-05-26 10:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.63,275.37,44.9
2025-05-26 11:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.7,275.3,44.9
2025-05-26 12:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.74,275.26,44.9
2025-05-26 13:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.81,275.19,45.0
2025-05-26 14:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.86,275.14,45.0
2025-05-26 15:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.91,275.09,45.0
2025-05-26 16:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,224.92,275.08,45.0
2025-05-26 17:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.05,307.95,38.4
2025-05-26 18:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.08,307.92,38.4
2025-05-26 19:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.15,307.85,38.4
2025-05-26 20:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.17,307.83,38.4
2025-05-26 21:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.19,307.81,38.4
2025-05-26 22:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.22,307.78,38.4
2025-05-26 23:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.25,307.75,38.4
2025-05-27 00:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.28,307.72,38.5
2025-05-27 01:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.33,307.67,38.5
2025-05-27 02:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.35,307.65,38.5
2025-05-27 03:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.4,307.6,38.5
2025-05-27 04:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.42,307.58,38.5
2025-05-27 05:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.49,307.51,38.5
2025-05-27 06:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.52,307.48,38.5
2025-05-27 07:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.54,307.46,38.5
2025-05-27 08:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.58,307.42,38.5
2025-05-27 09:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.61,307.39,38.5
2025-05-27 10:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.65,307.35,38.5
2025-05-27 11:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.7,307.3,38.5
2025-05-27 12:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.74,307.26,38.5
2025-05-27 13:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.77,307.23,38.6
2025-05-27 14:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.81,307.19,38.6
2025-05-27 15:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.88,307.12,38.6
2025-05-27 16:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.92,307.08,38.6
2025-05-27 17:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,192.99,307.01,38.6
2025-05-27 18:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,193.05,306.95,38.6
2025-05-27 19:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,193.08,306.92,38.6
2025-05-27 20:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,193.12,306.88,38.6
2025-05-27 21:48:31,Client 1,C1VM1,10.0.1.1,Windows Server 2019,500,193.18,306.82,38.6
