timestamp,client_name,vm_id,ip,os,total_gb,used_gb,free_gb,used_percent
2025-05-25 00:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,188.43,411.57,31.4
2025-05-25 01:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,188.64,411.36,31.4
2025-05-25 02:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,188.85,411.15,31.5
2025-05-25 03:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,189.02,410.98,31.5
2025-05-25 04:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,189.22,410.78,31.5
2025-05-25 05:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,189.4,410.6,31.6
2025-05-25 06:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,189.57,410.43,31.6
2025-05-25 07:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,189.73,410.27,31.6
2025-05-25 08:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,189.93,410.07,31.7
2025-05-25 09:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,190.11,409.89,31.7
2025-05-25 10:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,190.29,409.71,31.7
2025-05-25 11:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,190.45,409.55,31.7
2025-05-25 12:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,190.6,409.4,31.8
2025-05-25 13:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,190.78,409.22,31.8
2025-05-25 14:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,190.97,409.03,31.8
2025-05-25 15:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,191.16,408.84,31.9
2025-05-25 16:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,191.37,408.63,31.9
2025-05-25 17:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,191.57,408.43,31.9
2025-05-25 18:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,191.75,408.25,32.0
2025-05-25 19:48:31,Client 6,C6VM1,10.5.1.1,Ubuntu 18.04,600,191.95,408.05,32.0
